VisitId,PersonId,PlaceId,StartTime,EndTime
1,279,37,2020-10-16T06:45:53,2020-10-16T08:04:41
2,163,65,2020-10-01T01:55:29,2020-10-01T16:02:46
3,392,97,2020-10-20T03:10:35,2020-10-20T19:32:34
4,448,95,2020-10-14T00:53:26,2020-10-14T12:02:41
5,97,13,2020-10-12T02:07:05,2020-10-12T04:49:40
6,308,65,2020-10-05T19:13:01,2020-10-06T07:21:59
7,492,71,2020-10-03T00:37:38,2020-10-03T13:55:44
8,167,83,2020-10-23T05:12:28,2020-10-23T14:21:37
9,326,95,2020-10-12T22:48:58,2020-10-13T16:57:36
10,301,3,2020-10-19T09:44:20,2020-10-20T01:46:01
11,139,24,2020-10-10T15:57:07,2020-10-10T22:32:33
12,292,67,2020-10-18T10:57:32,2020-10-18T21:04:21
13,491,99,2020-10-12T22:18:09,2020-10-13T17:07:09
14,87,101,2020-10-03T15:01:02,2020-10-03T18:07:00
15,284,44,2020-09-24T11:24:45,2020-09-24T14:13:00
16,208,93,2020-09-25T20:01:33,2020-09-26T00:13:19
17,368,50,2020-10-06T11:01:31,2020-10-06T18:49:47
18,351,36,2020-10-10T14:49:45,2020-10-10T23:05:42
19,292,2,2020-10-19T13:26:38,2020-10-19T16:06:07
20,25,10,2020-10-18T23:33:55,2020-10-19T01:06:20
21,436,44,2020-10-20T07:32:40,2020-10-20T11:19:23
22,122,92,2020-09-29T04:28:08,2020-09-29T20:35:00
23,330,68,2020-10-22T16:30:38,2020-10-23T15:34:02
24,60,29,2020-09-24T00:40:42,2020-09-24T11:32:15
25,71,52,2020-09-30T15:13:30,2020-10-01T09:31:35
26,246,92,2020-10-11T04:42:56,2020-10-11T23:28:58
27,456,94,2020-10-21T02:29:40,2020-10-21T22:22:38
28,438,97,2020-09-27T02:21:58,2020-09-27T02:24:55
29,191,42,2020-10-12T21:11:01,2020-10-12T21:49:55
30,207,37,2020-09-27T20:22:17,2020-09-28T12:41:38
31,349,55,2020-10-09T19:03:08,2020-10-09T20:28:29
32,101,81,2020-10-12T21:00:09,2020-10-13T03:43:25
33,355,69,2020-10-21T07:37:30,2020-10-21T22:33:26
34,306,55,2020-10-16T15:23:25,2020-10-17T08:40:10
35,62,63,2020-10-01T00:42:14,2020-10-01T18:44:34
36,368,23,2020-09-28T23:34:21,2020-09-29T14:32:22
37,415,95,2020-10-02T10:54:07,2020-10-03T07:48:27
38,46,24,2020-10-11T10:30:53,2020-10-12T01:07:15
39,119,66,2020-10-15T20:30:33,2020-10-15T21:39:58
40,270,50,2020-10-16T02:41:47,2020-10-16T19:30:40
41,323,25,2020-09-30T00:36:27,2020-09-30T08:45:02
42,473,93,2020-09-30T00:59:15,2020-09-30T22:07:57
43,356,74,2020-10-13T16:01:10,2020-10-13T19:51:45
44,156,41,2020-10-20T20:59:24,2020-10-20T21:43:17
45,411,80,2020-10-02T03:42:39,2020-10-02T15:06:10
46,21,84,2020-10-20T01:18:02,2020-10-20T19:06:33
47,5,7,2020-10-19T04:46:51,2020-10-19T14:59:51
48,30,25,2020-09-27T07:34:51,2020-09-28T06:45:05
49,109,37,2020-10-02T19:12:35,2020-10-03T03:56:01
50,177,69,2020-10-11T15:05:47,2020-10-12T02:39:09
51,259,85,2020-09-29T00:00:03,2020-09-29T03:38:44
52,279,92,2020-10-17T22:37:16,2020-10-18T05:11:43
53,499,32,2020-09-25T00:59:14,2020-09-25T02:40:52
54,3,92,2020-10-13T21:14:02,2020-10-14T18:38:13
55,320,6,2020-10-08T00:04:22,2020-10-08T14:12:19
56,316,27,2020-09-24T20:24:57,2020-09-25T08:47:27
57,329,55,2020-10-18T10:31:01,2020-10-18T12:34:32
58,216,41,2020-10-10T09:40:31,2020-10-10T15:25:34
59,300,92,2020-10-19T20:29:30,2020-10-20T00:01:36
60,279,31,2020-10-12T06:18:31,2020-10-13T02:45:22
61,256,40,2020-10-06T12:46:31,2020-10-06T15:27:57
62,172,25,2020-10-17T05:15:24,2020-10-17T14:20:27
63,295,31,2020-10-03T11:17:05,2020-10-04T08:26:57
64,162,14,2020-10-18T08:44:05,2020-10-19T03:50:41
65,452,64,2020-10-17T12:10:43,2020-10-18T07:19:48
66,155,22,2020-09-27T03:32:43,2020-09-27T16:10:00
67,466,30,2020-10-12T17:24:13,2020-10-13T01:30:22
68,315,58,2020-10-23T19:52:57,2020-10-24T12:02:59
69,496,31,2020-09-25T04:34:27,2020-09-25T05:33:46
70,414,78,2020-10-21T02:53:30,2020-10-21T04:39:08
71,53,73,2020-10-06T05:37:35,2020-10-06T07:35:02
72,387,95,2020-10-23T20:10:16,2020-10-24T01:48:53
73,16,94,2020-10-21T20:16:24,2020-10-22T00:25:04
74,390,67,2020-10-13T10:25:39,2020-10-13T23:37:55
75,436,47,2020-10-14T23:20:30,2020-10-15T14:23:18
76,225,83,2020-10-20T17:16:51,2020-10-21T16:01:29
77,481,12,2020-10-22T15:49:54,2020-10-23T07:47:11
78,481,88,2020-10-20T11:09:52,2020-10-20T23:34:20
79,114,18,2020-09-30T20:10:46,2020-10-01T20:05:56
80,312,61,2020-10-08T11:44:32,2020-10-09T10:58:55
81,239,37,2020-10-11T10:44:04,2020-10-11T10:47:10
82,121,5,2020-10-18T10:29:30,2020-10-19T04:00:37
83,274,91,2020-10-23T08:47:08,2020-10-24T05:39:23
84,166,90,2020-09-28T20:06:53,2020-09-29T12:58:43
85,487,70,2020-09-27T19:21:38,2020-09-27T19:26:07
86,257,42,2020-09-27T07:16:24,2020-09-27T16:31:57
87,88,80,2020-10-13T10:07:35,2020-10-13T12:39:43
88,99,59,2020-10-15T23:33:40,2020-10-16T03:01:04
89,223,91,2020-10-17T22:33:40,2020-10-18T02:58:52
90,137,34,2020-10-07T15:23:26,2020-10-08T06:36:33
91,306,96,2020-10-11T05:32:35,2020-10-11T16:25:12
92,472,94,2020-10-21T20:08:35,2020-10-22T17:38:22
93,464,51,2020-10-21T08:53:43,2020-10-22T02:14:52
94,57,39,2020-10-15T17:58:36,2020-10-16T13:46:11
95,322,53,2020-10-18T22:21:42,2020-10-19T08:12:18
96,464,57,2020-10-11T19:26:33,2020-10-12T16:44:40
97,41,47,2020-10-10T01:01:43,2020-10-10T05:40:16
98,406,47,2020-10-23T18:44:24,2020-10-23T22:16:53
99,16,46,2020-10-09T16:12:03,2020-10-10T04:52:22
100,45,88,2020-10-05T04:07:44,2020-10-05T11:43:06
101,163,95,2020-10-04T16:00:45,2020-10-05T04:28:37
102,46,53,2020-10-20T20:39:46,2020-10-21T06:39:38
103,403,24,2020-10-02T13:12:28,2020-10-03T11:29:24
104,92,57,2020-10-02T18:52:35,2020-10-03T01:05:23
