VisitId,PersonId,PlaceId,StartTime,EndTime
54,Person_3,Place_92,2020-10-13T21:14:02,2020-10-14T18:38:13
501,Person_2,Place_21,2020-10-04T08:10:03,2020-10-04T22:03:51
530,Person_2,Place_32,2020-10-13T22:33:28,2020-10-14T00:05:52
1000,Person_3,Place_60,2020-10-08T15:11:53,2020-10-08T22:37:30
1026,Person_3,Place_17,2020-10-06T02:57:59,2020-10-06T19:07:06
1560,Person_3,Place_83,2020-09-27T02:45:44,2020-09-27T13:31:31
1571,Person_1,Place_18,2020-10-05T12:33:10,2020-10-06T03:43:11
1670,Person_1,Place_2,2020-10-20T01:17:00,2020-10-20T21:28:17
2020,Person_2,Place_18,2020-09-28T17:27:40,2020-09-28T18:30:31
2052,Person_2,Place_96,2020-10-10T19:51:02,2020-10-11T14:25:51
2119,Person_3,Place_65,2020-10-08T21:59:18,2020-10-09T04:09:38
2173,Person_2,Place_68,2020-10-06T07:31:54,2020-10-06T11:33:01
2246,Person_3,Place_91,2020-10-03T07:03:27,2020-10-03T09:31:07
2254,Person_1,Place_13,2020-09-30T23:48:53,2020-10-01T20:45:04
2672,Person_1,Place_97,2020-10-06T12:42:39,2020-10-06T15:21:40
2831,Person_1,Place_52,2020-10-19T05:23:04,2020-10-19T15:31:29
2939,Person_3,Place_44,2020-09-30T17:55:44,2020-10-01T01:04:13
3236,Person_3,Place_88,2020-10-18T06:32:07,2020-10-18T22:18:12
3237,Person_2,Place_73,2020-10-14T00:47:27,2020-10-14T01:13:35
3266,Person_2,Place_79,2020-10-20T04:00:06,2020-10-21T00:41:51
3278,Person_2,Place_100,2020-09-24T12:05:29,2020-09-25T03:23:48
3440,Person_2,Place_44,2020-09-27T04:24:07,2020-09-27T09:02:46
3634,Person_1,Place_24,2020-10-08T14:33:24,2020-10-09T11:54:10
3778,Person_1,Place_101,2020-10-05T19:30:55,2020-10-06T09:14:48
3905,Person_3,Place_61,2020-09-26T05:39:18,2020-09-27T00:24:28
4417,Person_3,Place_51,2020-10-22T21:51:54,2020-10-23T11:01:43
4552,Person_1,Place_27,2020-10-12T21:32:22,2020-10-13T18:51:52
4726,Person_2,Place_75,2020-10-10T06:50:05,2020-10-10T20:25:25
4754,Person_3,Place_50,2020-09-29T12:38:50,2020-09-29T16:54:45
4887,Person_2,Place_54,2020-10-21T02:34:47,2020-10-21T07:45:28
