VisitId,PersonId,PlaceId,StartTime,EndTime
1,Person_3,Person_106,2020-11-09T13:21:34,2020-11-09T13:35:34
2,Person_3,Person_147,2020-11-09T13:21:34,2020-11-09T14:22:34
3,Person_3,Person_177,2020-11-09T13:21:34,2020-11-09T13:35:34
4,Person_3,Person_295,2020-11-09T13:21:34,2020-11-09T14:22:34
5,Person_3,Person_407,2020-11-09T13:21:34,2020-11-09T13:36:34
6,Person_15,Person_21,2020-11-09T13:21:34,2020-11-09T14:22:34
7,Person_15,Person_48,2020-11-09T13:21:34,2020-11-09T14:22:34
8,Person_15,Person_200,2020-11-09T13:21:34,2020-11-09T14:22:34
9,Person_15,Person_211,2020-11-09T13:21:34,2020-11-09T14:21:34
10,Person_15,Person_242,2020-11-09T13:21:34,2020-11-09T14:21:34
11,Person_15,Person_480,2020-11-09T13:21:34,2020-11-09T14:21:34
12,Person_15,Person_771,2020-11-09T13:21:34,2020-11-09T14:21:34
13,Person_15,Person_791,2020-11-09T13:21:34,2020-11-09T14:21:34
14,Person_15,Person_826,2020-11-09T13:21:34,2020-11-09T14:22:34
15,Person_15,Person_845,2020-11-09T13:21:34,2020-11-09T14:22:34
16,Person_20,Person_634,2020-11-09T13:21:34,2020-11-09T14:22:34
17,Person_21,Person_15,2020-11-09T13:21:34,2020-11-09T13:36:34
18,Person_21,Person_200,2020-11-09T13:21:34,2020-11-09T14:21:34
19,Person_21,Person_826,2020-11-09T13:21:34,2020-11-09T14:21:34
20,Person_28,Person_295,2020-11-09T13:21:34,2020-11-09T14:22:34
21,Person_28,Person_327,2020-11-09T13:21:34,2020-11-09T14:22:34
22,Person_28,Person_407,2020-11-09T13:21:34,2020-11-09T14:22:34
23,Person_28,Person_441,2020-11-09T13:21:34,2020-11-09T14:22:34
24,Person_28,Person_478,2020-11-09T13:21:34,2020-11-09T14:22:34
25,Person_45,Person_48,2020-11-09T13:21:34,2020-11-09T14:22:34
26,Person_45,Person_79,2020-11-09T13:21:34,2020-11-09T14:22:34
27,Person_45,Person_134,2020-11-09T13:21:34,2020-11-09T13:35:34
28,Person_45,Person_232,2020-11-09T13:21:34,2020-11-09T13:35:34
29,Person_45,Person_601,2020-11-09T13:21:34,2020-11-09T13:36:34
30,Person_48,Person_45,2020-11-09T13:21:34,2020-11-09T14:22:34
31,Person_48,Person_79,2020-11-09T13:21:34,2020-11-09T14:21:34
32,Person_48,Person_488,2020-11-09T13:21:34,2020-11-09T13:36:34
33,Person_62,Person_650,2020-11-09T13:21:34,2020-11-09T14:21:34
34,Person_65,Person_681,2020-11-09T13:21:34,2020-11-09T14:22:34
35,Person_65,Person_809,2020-11-09T13:21:34,2020-11-09T14:22:34
36,Person_79,Person_45,2020-11-09T13:21:34,2020-11-09T14:22:34
37,Person_79,Person_601,2020-11-09T13:21:34,2020-11-09T13:36:34
38,Person_87,Person_134,2020-11-09T13:21:34,2020-11-09T14:22:34
39,Person_87,Person_211,2020-11-09T13:21:34,2020-11-09T14:22:34
40,Person_87,Person_242,2020-11-09T13:21:34,2020-11-09T14:22:34
41,Person_87,Person_388,2020-11-09T13:21:34,2020-11-09T14:22:34
42,Person_87,Person_488,2020-11-09T13:21:34,2020-11-09T14:22:34
43,Person_87,Person_496,2020-11-09T13:21:34,2020-11-09T13:35:34
44,Person_87,Person_826,2020-11-09T13:21:34,2020-11-09T14:22:34
45,Person_89,Person_120,2020-11-09T13:21:34,2020-11-09T14:22:34
46,Person_89,Person_232,2020-11-09T13:21:34,2020-11-09T14:22:34
47,Person_89,Person_285,2020-11-09T13:21:34,2020-11-09T14:22:34
48,Person_89,Person_488,2020-11-09T13:21:34,2020-11-09T14:22:34
49,Person_101,Person_119,2020-11-09T13:21:34,2020-11-09T13:36:34
50,Person_101,Person_240,2020-11-09T13:21:34,2020-11-09T13:36:34
51,Person_101,Person_364,2020-11-09T13:21:34,2020-11-09T13:36:34
52,Person_101,Person_425,2020-11-09T13:21:34,2020-11-09T14:22:34
53,Person_106,Person_272,2020-11-09T13:21:34,2020-11-09T14:22:34
54,Person_106,Person_587,2020-11-09T13:21:34,2020-11-09T14:21:34
