VisitId,PersonId,PlaceId,StartTime,EndTime
1,Person_1,Person_3,2020-11-06T11:48:24,2020-11-06T13:10:24
2,Person_1,Person_6,2020-11-06T11:48:24,2020-11-06T13:09:24
3,Person_1,Person_10,2020-11-06T11:48:24,2020-11-06T11:56:24
4,Person_1,Person_4,2020-11-06T11:48:24,2020-11-06T12:00:24
5,Person_2,Person_1,2020-11-06T11:48:24,2020-11-06T15:20:24
6,Person_2,Person_7,2020-11-06T11:48:24,2020-11-06T12:08:24
7,Person_3,Person_2,2020-11-06T11:48:24,2020-11-06T13:03:24
8,Person_3,Person_1,2020-11-06T11:48:24,2020-11-06T13:48:24
9,Person_3,Person_5,2020-11-06T11:48:24,2020-11-06T14:06:24
10,Person_4,Person_6,2020-11-06T11:48:24,2020-11-06T13:13:24
11,Person_4,Person_8,2020-11-06T11:48:24,2020-11-06T13:38:24
12,Person_5,Person_2,2020-11-06T11:48:24,2020-11-06T13:07:24
13,Person_5,Person_10,2020-11-06T11:48:24,2020-11-06T15:31:24
14,Person_6,Person_7,2020-11-06T11:48:24,2020-11-06T13:35:24
15,Person_6,Person_3,2020-11-06T11:48:24,2020-11-06T14:01:24
16,Person_6,Person_9,2020-11-06T11:48:24,2020-11-06T12:27:24
17,Person_6,Person_5,2020-11-06T11:48:24,2020-11-06T12:24:24
18,Person_7,Person_6,2020-11-06T11:48:24,2020-11-06T15:48:24
19,Person_7,Person_1,2020-11-06T11:48:24,2020-11-06T13:17:24
20,Person_7,Person_4,2020-11-06T11:48:24,2020-11-06T14:58:24
21,Person_7,Person_9,2020-11-06T11:48:24,2020-11-06T11:58:24
22,Person_8,Person_6,2020-11-06T11:48:24,2020-11-06T15:07:24
23,Person_8,Person_7,2020-11-06T11:48:24,2020-11-06T12:20:24
24,Person_9,Person_4,2020-11-06T11:48:24,2020-11-06T12:33:24
25,Person_9,Person_3,2020-11-06T11:48:24,2020-11-06T12:28:24
26,Person_10,Person_3,2020-11-06T11:48:24,2020-11-06T13:17:24
27,Person_10,Person_6,2020-11-06T11:48:24,2020-11-06T15:29:24
28,Person_10,Person_4,2020-11-06T11:48:24,2020-11-06T14:04:24
